time,Q_KBW,WSP_TSP,WSP_UWB
2013-05-19 22:00:00,6.000000,0.300000,0.300000
2013-05-19 23:00:00,9.036594,0.296268,0.332532
2013-05-20 00:00:00,9.021758,0.296190,0.365010
2013-05-20 01:00:00,9.068373,0.299544,0.397656
2013-05-20 02:00:00,9.147520,0.309813,0.430587
2013-05-20 03:00:00,9.224116,0.316206,0.463794
2013-05-20 04:00:00,9.309641,0.322291,0.497309
2013-05-20 05:00:00,9.402504,0.328042,0.531158
2013-05-20 06:00:00,9.501644,0.337036,0.565364
2013-05-20 07:00:00,9.593751,0.345699,0.599901
2013-05-20 08:00:00,9.678172,0.350457,0.634743
2013-05-20 09:00:00,9.766874,0.347697,0.669903
2013-05-20 10:00:00,9.885207,0.340910,0.705490
2013-05-20 11:00:00,10.051927,0.329923,0.741677
2013-05-20 12:00:00,10.294873,0.314461,0.778739
2013-05-20 13:00:00,10.661517,0.297680,0.817120
2013-05-20 14:00:00,11.207941,0.278931,0.857469
2013-05-20 15:00:00,12.017963,0.257267,0.900733
2013-05-20 16:00:00,13.175907,0.231433,0.948167
2013-05-20 17:00:00,14.731497,0.200000,1.001200
2013-05-20 18:00:00,6.000000,0.200000,1.022800
